Date,Number of Creations,Numer of purchased Creations,Trailing 7 day average
2019/09/20,11,4,1.00
2019/09/21,32,20,3.00
2019/09/22,63,36,3.67
2019/09/23,56,27,5.00
2019/09/24,98,72,7.60
2019/09/25,107,88,9.83
2019/09/26,111,72,11.43
2019/09/27,133,71,13.71
2019/09/28,158,113,18.29
2019/09/29,190,118,23.29
2019/09/30,188,120,27.29
2019/10/01,211,158,33.00
2019/10/02,250,167,39.71
2019/10/03,294,179,46.86
2019/10/04,302,185,55.00
2019/10/05,366,261,66.14
2019/10/06,407,260,76.86
2019/10/07,411,287,91.00
2019/10/08,447,287,106.43
2019/10/09,484,360,125.29
2019/10/10,519,306,142.43
2019/10/11,592,390,171.57
2019/10/12,658,427,204.29
2019/10/13,702,441,241.71
2019/10/14,776,562,302.57
2019/10/15,811,527,354.14
2019/10/16,960,580,408.43
2019/10/17,1068,697,480.71
2019/10/18,1211,811,556.86
2019/10/19,1471,1011,652.14
2019/10/20,1913,1363,793.00
